
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 1  0      0 1383904 227100 1817252    0    0    25   101  102  197  1  0 99  0  0
 0  0      0 1326620 227244 1837608    0    0     0  2121 3093 3031 12  5 83  0  0
 0  0      0 1322780 227264 1842544    0    0     0  1983  494  463  0  0 99  0  0
 0  0      0 1318176 227280 1847432    0    0     0   538  579  713  0  1 99  0  0
 0  1      0 1218972 234644 1919028    0    0     0  6041 3224 5888  8  6 79  6  0
 0  1      0 1250856 240272 1911908    0    0     0  4304 6143 11457 10 11 74  5  0
 1  0      0 1228924 240380 1932352    0    0     0  2127 2294 2261  8  3 88  1  0
 0  0      0 1191852 240380 1941104    0    0     0   911  829  784  5  1 94  0  0
 0  2      0 1092800 245804 2013696    0    0     0 17019 3130 5699  8  6 74 13  0
 1  1      0 1084168 248084 2018168    0    0     0  6052 3327 5812  9  9 72 10  0
 0  0      0 1128784 252088 2010120    0    0     0  1849 4023 7741  4  4 91  1  0
 1  0      0 1095824 252100 2043648    0    0     0  2414 1131  806  2  1 96  0  0
 0  0      0 1081216 252108 2027332    0    0     0   215  380  325  9  1 90  0  0
 0  0      0 1077580 252116 2031364    0    0     0 10061  365  279  0  1 97  2  0
 0  0      0 1074672 252120 2034552    0    0     0  1342  302  271  0  0 99  0  0
 3  0      0 1055024 252384 2046116    0    0     0  1716  619  937  1  1 97  1  0
 1  0      0 968808 258204 2111756    0    0     0  5545 4140 7475 13 10 71  7  0
 0  0      0 1008516 262604 2106308    0    0     0  2476 5507 10270  6  8 84  2  0
 1  0      0 972316 262616 2121944    0    0     0  2450 1658 1313  6  2 92  0  0
 0  0      0 961432 262628 2125732    0    0     0   388  375  282  5  1 94  0  0
 0  0      0 957740 262632 2128824    0    0     0  9810  327  290  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 1  1      0 884836 266704 2182404    0    0     0  5150 2452 4277  3  4 89  4  0
 1  0      0 849868 269880 2207696    0    0     0  4103 3603 6285 13  9 72  5  0
 0  0      0 869268 273924 2220760    0    0     0  2768 5133 8618  6  6 87  2  0
 0  0      0 841396 273940 2218712    0    0     0  1102  887  653  9  1 89  0  0
 0  0      0 837204 273952 2223492    0    0     0  1079  439  395  0  1 99  0  0
 2  1      0 807156 274748 2245072    0    0     0 10650 1101 1678  1  2 83 14  0
 0  1      0 737460 278672 2301480    0    0     0  6938 3834 6816 12  8 72  8  0
 0  0      0 775728 282916 2292448    0    0     0  2369 5372 10159  6  7 84  2  0
 0  0      0 768816 282920 2299640    0    0     0   844  746  818  0  1 99  0  0
 1  0      0 754016 282920 2314936    0    0     0   952  585  763  2  1 98  0  0
 0  0      0 739972 282928 2328524    0    0     0 10408  691  898  1  1 93  5  0
 0  0      0 726884 282932 2313112    0    0     0   639  404  334  8  2 91  0  0
 0  0      0 723588 282940 2316572    0    0     0  1264  285  257  0  1 99  0  0
 0  0      0 718576 282944 2321336    0    0     0   538  391  349  0  1 99  0  0
 1  0      0 615116 287916 2393000    0    0     0  5397 3290 5925  9  6 80  5  0
 1  0      0 659480 292940 2385876    0    0     0  3899 6444 12136 10 10 75  4  0
 0  0      0 637044 292952 2408412    0    0     0  1108 1193  943  3  2 96  0  0
 0  0      0 631388 292960 2414364    0    0     0     3  745  862  0  1 99  0  0
 1  1      0 609792 292984 2407388    0    0     0 11161  537  487  9  2 86  4  0
 1  0      0 574448 293968 2434548    0    0     0  2741 1728 2213  1  2 95  1  0
 1  0      0 498556 298372 2490836    0    0     0  5301 3979 7067 13  9 72  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      0 527500 302164 2481820    0    0     0 12606 5144 9723  5  7 84  4  0
 0  0      0 514372 302168 2506332    0    0     0  1229 1064  778  2  1 96  0  0
 1  0      0 491292 302180 2501012    0    0     0   932  550  428  8  1 91  0  0
 0  0      0 486388 302188 2505216    0    0     0  1266  353  248  2  1 98  0  0
 0  0      0 481948 302196 2508856    0    0     0  1363  331  277  0  0 100  0  0
 2  0      0 443140 303276 2537916    0    0     0  2749 1373 2330  1  2 94  2  0
 2  0      0 382644 306248 2585904    0    0     0  5215 3796 6746 14  9 71  7  0
 0  0      0 402804 310132 2593852    0    0     0 18184 5875 10192  7  7 77  8  0
 1  0      0 378784 310148 2595784    0    0     0  1258  922  657  5  1 94  0  0
 0  0      0 369764 310156 2599584    0    0     0   402  366  286  5  1 94  0  0
 2  0      0 367432 310160 2602108    0    0     0  1201  257  257  0  0 99  0  0
 1  0      0 363084 310168 2606108    0    0     0  1674  359  300  0  0 99  0  0
 0  1      0 269376 314968 2680148    0    0     0  5302 4294 7735 12  9 72  7  0
 1  0      0 307388 316652 2673644    0    0     0  2797 5442 10012  7  9 81  3  0
 1  0      0 291732 316656 2690512    0    0     0  2442 1648 1213  7  2 91  0  0
 0  0      0 257708 316668 2694608    0    0     0   435  426  333  5  1 94  0  0
 0  0      0 254344 316672 2697812    0    0     0  9879  328  268  0  1 96  3  0
 0  0      0 251116 316672 2700772    0    0     0  1468  296  259  0  0 99  0  0
 2  0      0 152860 319168 2772240    0    0     0  6143 3961 7144 11  8 74  7  0
 1  0      0 270692 307944 2706764    0    0     2  4150 5892 10991  9  9 78  4  0
 1  0      0 223880 307964 2724468    0    0     0 12099 2357 2120 12  3 80  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  1      0 208824 308008 2734476    0    0     0  1104 1066 1014  1  1 97  1  0
 2  0      0 107116 311072 2808100    0    0     0  5286 4263 7718 12  8 72  8  0
 0  0      0 244428 313332 2699096    0    0     1 14410 5749 10637  7  9 79  6  0
